"A",5000,1000,100,100
"C",0,23
28,100
-2,-5
4,-3
0,-6
-6,-2
-1,-6
6,-4
-1,-3
-4,-4
-4,4
-7,-4
-3,-7
2,-8
-5,-2
3,-7
-7,-5
3,-10
7,3
1,-7
12,-6
2,-8
-18,-2
-10,-4
"C",0,28
29,100
-1,-6
7,-3
-4,1
-1,-8
4,-2
4,4
-2,4
3,-4
-5,-5
-8,3
-2,-6
5,-2
-1,-7
-6,-2
-2,3
-6,-4
-3,-6
2,-8
-6,-4
3,-6
-6,-2
3,-11
7,3
1,-8
7,-1
8,-11
70,2
"C",10,12
26,100
-3,-7
6,-5
-1,-3
-10,-6
-6,4
7,-11
-5,-2
-7,6
5,-7
-6,-9
-6,-2
"C",10,32
100,38
-10,-2
-6,2
-4,-1
0,-4
-8,-2
-1,4
-7,1
10,10
-12,-4
-1,5
3,1
-3,4
2,2
-26,3
-9,-3
-7,8
2,-1
9,8
4,-5
5,0
-7,6
-1,6
9,-1
-7,3
7,4
-1,5
4,4
-5,-3
-2,-6
-5,14
3,4
"C",20,14
20,100
0,-3
5,1
-3,-5
5,-8
-9,-6
-2,5
-5,2
8,-14
-5,-2
-8,9
5,-9
-6,-8
-5,0
"C",20,27
100,40
-10,-2
-12,5
0,5
8,6
-14,-4
-6,4
5,7
-7,-2
-8,3
-3,-4
-5,0
-2,2
6,2
-4,1
0,3
-12,3
-1,5
11,3
-7,-2
-3,3
7,4
-1,5
7,6
-5,1
-5,-6
-3,12
"C",30,19
19,100
0,-3
6,-1
-4,-2
5,-8
-8,-6
-1,5
-3,-1
-4,4
8,-15
-1,2
-3,-4
-11,10
7,-9
-4,-2
2,-3
-3,-2
-5,1
0,4
"C",30,26
37,100
3,-9
4,6
2,-4
7,4
-10,-10
1,-5
-7,-4
3,-2
10,2
-13,-4
-1,-3
13,-2
5,-4
4,1
6,-3
15,-1
-10,-6
7,-4
8,3
8,12
-2,-11
2,-1
-13,-11
12,-4
9,1
"C",40,12
17,100
7,-4
-4,-2
5,-8
-7,-5
0,5
-6,-2
-3,7
7,-16
-6,4
-1,-3
-9,7
"C",40,29
54,100
-10,-13
0,-4
-6,-5
12,1
2,4
1,-3
-12,-8
15,-5
2,2
6,-2
2,2
0,-4
22,-2
3,5
-5,9
8,-1
-2,-2
0,-11
5,-2
-5,-3
5,-3
-6,-2
0,-5
-10,-4
5,-2
13,0
-6,6
7,9
"C",50,12
14,100
6,-5
3,-11
-4,-3
-1,7
-6,-4
-4,9
2,-9
6,-6
-8,2
0,-2
-8,6
"C",50,20
55,100
-13,-20
8,1
6,5
-4,-7
-7,-4
11,-4
4,2
-1,-3
5,-2
3,5
1,-4
20,-4
1,9
-10,8
5,0
2,2
0,-4
2,-3
12,-1
"C",60,11
13,100
8,-8
2,-8
-4,-2
-1,7
-5,-4
-3,9
-3,0
7,-14
-14,4
0,3
"C",60,22
55,100
-11,-19
6,1
9,6
-7,-12
6,-2
2,2
4,-4
2,4
4,-1
-2,-4
20,-4
0,7
-14,15
5,-1
1,-4
4,-1
4,8
0,-9
4,-3
4,3
4,-4
"C",70,12
13,100
8,-8
1,-8
-3,-1
-1,7
-4,-4
-4,9
-4,-1
4,-12
-9,3
1,6
-2,-3
"C",70,26
100,80
-4,4
-4,-3
-4,5
1,8
-3,2
1,-5
-3,-6
-4,1
1,4
-9,3
0,4
-2,-5
18,-18
0,-5
-16,4
1,3
-7,2
-4,-2
-7,2
-1,5
6,6
0,4
-10,-10
-4,3
10,14
"C",80,11
12,100
8,-8
1,-8
-3,6
-4,-3
-4,9
-4,0
2,-12
-6,2
0,7
-2,-4
"C",80,11
56,100
-8,-15
10,6
0,4
4,-1
-6,-13
11,-1
19,-9
1,3
-18,18
1,8
"C",90,11
12,100
8,-8
0,-6
-2,5
-4,-3
-3,8
-5,2
2,-11
-6,-1
0,9
-2,-5
"C",90,11
56,100
-8,-13
10,4
0,5
5,0
-7,-12
7,0
1,-3
19,-5
-14,16
0,8
"C",100,10
12,100
8,-11
-2,3
-3,-2
-3,6
-6,3
1,-10
-4,-1
-1,9
-2,-5
"C",100,12
57,100
-7,-11
7,3
3,6
4,-2
-5,-10
7,0
9,-5
0,5
-6,6
0,6
-2,2
